Economy,Economy_Code,Year,Adult_Population_15+,Region,Country_Income_group,gap_of_Account,gap of Bank or similar financial institution account (%),gap_of_Debit,gap_of_Credit,LFPR_Gap,Women_Marriage_Rate,Enroll_Female_Secondary,logGDP,WBL_Index
Afghanistan,AFG,2014,16708999,South Asia (excluding high income),Low income,,,,,58.119,66.71,38.53305817,23.74355064,28.75
Afghanistan,AFG,2017,18807229,South Asia (excluding high income),Low income,0.153758109,0.157260669,,,52.161,66.1,39.93785858,23.65464392,38.125
Afghanistan,AFG,2021,21791072,South Asia (excluding high income),Low income,,,,,52.622,65.84,,23.38072393,38.125
Albania,ALB,2011,2281010,Europe & Central Asia (excluding high income),Upper middle income,0.109920662,0.109920662,0.092526297,0.054614425,15.068,64.13,92.29814911,23.28619438,85.625
Albania,ALB,2014,2322032,Europe & Central Asia (excluding high income),Upper middle income,0.089254573,0.089254573,0.08333247,,19.349,64.12,98.90645997,23.31075334,85.625
Albania,ALB,2017,2340965,Europe & Central Asia (excluding high income),Upper middle income,0.039405453,0.038976434,0.064127815,,17.015,65.18,94.92334685,23.30788723,91.25
Albania,ALB,2021,2340601,Europe & Central Asia (excluding high income),Upper middle income,-0.031009444,-0.031009444,-0.017003934,,14.277,67.35,94.35566047,23.61541431,91.25
Albania,ALB,2024,2278004,Europe & Central Asia (excluding high income),Upper middle income,0.102948498,0.102948498,0.038243714,,14.65,,106.7157364,24.02566393,91.25
Algeria,DZA,2011,26251587,Middle East & North Africa (excluding high income),Lower middle income,0.257205274,0.257205274,0.081127752,,55.979,55.06,106.7806061,26.1077609,55
Algeria,DZA,2014,27628433,Middle East & North Africa (excluding high income),Lower middle income,0.208381148,0.208381148,0.201279546,,53.385,55.58,,26.19972939,55
Algeria,DZA,2017,28799702,Middle East & North Africa (excluding high income),Lower middle income,0.269862078,0.269862078,0.135945057,,53.615,55.79,,25.97028991,57.5
Algeria,DZA,2021,30458426,Middle East & North Africa (excluding high income),Lower middle income,0.256389201,0.256389201,0.207969597,,50.954,54.8,,25.94901251,57.5
Algeria,DZA,2024,32019804,Middle East & North Africa (excluding high income),Lower middle income,0.337919266,0.337919266,0.237530317,,52.51,,106.5338078,26.29921494,57.5
Angola,AGO,2011,12779501,Sub-Saharan Africa (excluding high income),Lower middle income,0.005526245,0.005526245,0.01587384,-0.032559035,5.034,57.29,22.3924408,25.44176471,62.5
Angola,AGO,2014,14342950,Sub-Saharan Africa (excluding high income),Lower middle income,0.138004849,0.138004849,0.108831232,,4.73,57.25,,25.63592072,70.625
Argentina,ARG,2011,30685516,Latin America & Caribbean (excluding high income),Upper middle income,0.027954069,0.027954069,0.006602801,0.037035466,26.033,51.94,106.7339935,26.99614284,73.125
Argentina,ARG,2014,31872846,Latin America & Caribbean (excluding high income),Upper middle income,-0.013933974,-0.013933974,0.002268091,0.033298648,24.589,51.18,110.3636093,26.98856705,73.125
Argentina,ARG,2017,33036043,Latin America & Caribbean (excluding high income),Upper middle income,-0.042908737,-0.04759917,-0.046438097,0.047032868,22.748,50.48,113.5300903,27.19096456,73.125
Argentina,ARG,2021,34481880,Latin America & Caribbean (excluding high income),Upper middle income,-0.04191255,-0.008932191,0.040121588,0.110892614,20.576,49.45,119.1815109,26.91152996,76.25
Argentina,ARG,2024,35433130,Latin America & Caribbean (excluding high income),Upper middle income,-0.053101902,-0.085151563,-0.078347166,0.003650419,18.862,,,27.17373626,79.375
Armenia,ARM,2011,2457011,Europe & Central Asia (excluding high income),Upper middle income,-0.014325655,-0.014325655,,,13.653,61.01,92.73712158,23.03996208,79.375
Armenia,ARM,2014,2428128,Europe & Central Asia (excluding high income),Upper middle income,0.063750751,0.063130178,,,13.585,61.99,86.61898041,23.17509071,82.5
Armenia,ARM,2017,2384230,Europe & Central Asia (excluding high income),Upper middle income,0.14844981,0.129408615,0.105114415,,13.475,63.06,,23.16799774,82.5
